[0.00 - 0.88]  Hello, hello.
[3.76 - 5.62]  So where to begin?
[6.88 - 12.60]  So this is basically Hornet storage, but kind of started as that.
[12.68 - 16.34]  I would say that was the seed, and a lot has blossomed from it.
[17.66 - 22.60]  But to begin, we're going to just start with the all-in-one Hornet storage Nostra relay.
[22.60 - 29.60]  And basically how this thing works is it can host all of the normal Nostra notes that normal...
[30.00 - 35.70]  relays host, but it can also host Blossom blobs, which a lot of people are starting
[35.70 - 39.52]  to get a lot more familiar with. And, you know, the beauty of Blossom is that
[39.52 - 45.06]  it provides the data portability that your normal Noster notes have, but for your media
[45.06 - 49.12]  as well. Because, you know, if a relay bans you for
[49.12 - 53.18]  any reason, you can just move your post to another relay because they're all signed by
[53.18 - 60.18]  your key. And that would be what Blossom provides as well for your media.
[60.00 - 66.04]  So, Hornet Storage tries to provide that. But there is something that happens when the
[66.04 - 70.24]  media files get really large. It's basically called a delay attack.
[70.24 - 75.62]  Where the only way you can verify that I signed the video is if you download it first.
[75.62 - 79.08]  And if it's a really large video, it might take you, you know, ten minutes to download
[79.08 - 82.50]  it. So, by the time you finish downloading it,
[82.50 - 86.74]  you then have to verify it and it might be that I sent you the wrong video.
[86.74 - 90.00]  So, Merkle trees basically provide this chunking where you can download it.
[90.00 - 97.76]  branch by branch and verify that every branch is signed with the signature that signed the
[97.76 - 103.16]  route. So it's still just one signature, just like your Nostra notes are.
[103.88 - 109.58]  So the Hornet Storage Relay supports all three of those. And it comes with a really nice GUI panel
[109.58 - 114.48]  that I'm going to show you guys where relay operators will finally be able to have an
[114.48 - 119.68]  experience kind of like how the miners do with their mining farms and the dashboard panels that
[119.68 - 120.68]  they use.
[120.00 - 129.78]  that they have. So you can see here you got some different graphs that display the percentage
[129.78 - 136.96]  of what you're storing, like photos or videos or normal notes. You have your paid subscribers
[136.96 - 142.56]  at the top. And it's all interactable. And this is all currently functional. You also
[142.56 - 148.88]  have the number of addresses. So if people start switching to Bolt 12, you can track
[148.88 - 150.00]  that and just the number of
[150.00 - 154.70]  users that you have on your relay as well. You can track how many gigabytes per month
[154.70 - 161.82]  you're storing in total. And you could do a month by month. And then that's basically
[161.82 - 167.24]  the same thing but for notes and media segregated. Over here on the right you have your wallet,
[167.24 - 172.28]  a little bitcoin graph, see the price of bitcoin, all of your transactions, people who are paying
[172.28 - 177.12]  you, you know, if you're a paid relay. And they even have a button for switching to sats
[177.12 - 184.12]  if you want to denominate in that.
[180.00 - 186.26]  Then here is the settings page.
[186.26 - 188.60]  So this is, I think, the most magical part.
[188.60 - 193.22]  You can really configure how you want to host data.
[193.22 - 194.60]  You don't have to do everything.
[194.60 - 199.36]  You can store blossom blobs, you can store the merkle trees, you can turn those off altogether
[199.36 - 200.84]  if you want.
[200.84 - 206.16]  Here is just the different kind numbers, supporting different nips, you know, just giving you
[206.16 - 210.00]  really full toggle ability.
[210.00 - 218.10]  And then, you know, some people don't want to host photos and videos, the content moderation problem, so you can turn those off as well if you want.
[220.26 - 221.98]  Same with audio down there.
[225.42 - 232.78]  Just kind of make it a nice experience for relay operators, because they're like the backbone of the network at the end of the day, like the server operators.
[232.78 - 239.98]  And then here you have statistics for each kind number, so you can kind of track the trends of maybe different new Nostra apps.
[240.00 - 246.12]  that are emerging. Because, you know, new apps tend to have new kind numbers. So that's
[246.12 - 250.26]  pretty much the panel. And there is a light mode as well. It's like a bit of a flash bang
[250.26 - 259.00]  for everyone. But, yeah, so that's the beginning. And, you know, since we built this relay with
[259.00 - 264.86]  the ability to store all types of files, we thought might as well build a little decentralized
[264.86 - 269.42]  Dropbox to test it all out. So this is NosterBox.
[270.00 - 271.26]  It still isn't released yet.
[271.40 - 273.08]  It will be out in maybe two weeks,
[273.24 - 275.02]  but it's pretty far along.
[275.54 - 276.70]  And I'm just going to show you guys
[276.70 - 277.66]  what it looks like as well.
[278.76 - 280.50]  So here you log in with your private key.
[282.06 - 284.58]  And we want to support other things later,
[284.68 - 285.48]  maybe like BitTorrent,
[285.56 - 287.00]  so there's a little side panel.
[288.48 - 290.68]  But it starts here,
[290.68 - 292.18]  where we're going to add a relay.
[292.94 - 295.04]  Just start from the beginning.
[297.42 - 298.64]  Oh, and those are two different
[298.64 - 300.00]  transport protocols at the top.
[300.00 - 304.76]  by the way. You could support QUIC instead of WebSockets, which is a little bit faster,
[304.76 - 309.72]  but both are available. So this is connecting to a Hornet storage relay right now. This
[309.72 - 318.18]  is just the NosterBox app. And we're connected. So now we're going to upload a file just like
[318.18 - 323.88]  you would in Dropbox. And on the top right there, you can see it's uploading.
[330.00 - 338.92]  And it's uploaded. We got a grid view or list view. You can even make new folders. And all
[338.92 - 343.94]  of these are, like, tracked with Nostra Notes. We forked NIP 96, which is, like, this metadata
[343.94 - 349.44]  Nostra Note. I've seen Will support it. I think it's a really good, simple note that
[349.44 - 354.24]  you can incorporate multiple types of file storage into. So it has support for Blossom
[354.24 - 359.66]  and sign up Merkle trees and even torrents. So we'll release that very soon, the documentation
[359.66 - 360.66]  on it.
[360.00 - 363.50]  But here you have your receiving addresses.
[363.50 - 368.84]  So this is a way you could pay your Nostra relay to store your data so you don't have
[368.84 - 375.30]  to pay Microsoft and, you know, all these companies that just hold your stuff hostage.
[375.30 - 376.30]  You can switch.
[376.30 - 378.58]  It's like a free market for data storage now, you know.
[378.58 - 382.76]  Nostra is really starting to blossom beyond text.
[382.76 - 384.12]  This is the proof of that.
