[0.00 - 0.88]  こんにちは、こんにちは。
[3.76 - 5.62]  さて、どこから始めましょうか？
[6.88 - 12.60]  これは基本的にHornetストレージですが、最初はそのように始まりました。
[12.68 - 16.34]  それが種だったと言えますし、そこから多くのものが花開きました。
[17.66 - 22.60]  ですが、まず始めに、オールインワンのHornetストレージNostraリレーから始めます。
[22.60 - 29.60]  で、この仕組みは、通常のNostraノートをホストできるだけでなく、
[30.00 - 35.70]  Blossomのデータもホストできるというものです。多くの人がそれに
[35.70 - 39.52]  だんだんと慣れてきています。Blossomの美しさは、通常のNosterノートと同様に
[39.52 - 45.06]  データの移動性を提供し、メディアにも対応していることです。
[45.06 - 49.12]  なぜなら、もしリレーがあなたを禁止した場合、
[49.12 - 53.18]  別のリレーに投稿を移動することができるからです。すべてはあなたのキーで
[53.18 - 60.18]  署名されているからです。そして、これがBlossomがメディアに対しても提供するものです。
[60.00 - 66.04]  なので、Hornet Storageはそれを提供しようとしています。しかし、メディアファイルが
[66.04 - 70.24]  本当に大きくなると、何かが起こります。基本的にそれは遅延攻撃と呼ばれています。
[70.24 - 75.62]  ビデオに私が署名したことを確認する唯一の方法は、最初にそれをダウンロードすることです。
[75.62 - 79.08]  もしそれが非常に大きなビデオであれば、ダウンロードするのに10分かかるかもしれません。
[79.08 - 82.50]  なので、ダウンロードが終わったときには、
[82.50 - 86.74]  それを確認する必要があり、私があなたに間違ったビデオを送った可能性があります。
[86.74 - 90.00]  そこで、Merkleツリーは基本的にこのチャンク化を提供します。あなたはそれを
[90.00 - 97.76]  ブランチごとにダウンロードし、各ブランチが
[97.76 - 103.16]  ルートを署名した署名と共に署名されていることを確認できます。ですから、Nostraノートと同様に
[103.88 - 109.58]  それはまだ一つの署名です。Hornet Storageリレーはその3つすべてをサポートしています。
[109.58 - 114.48]  そして、私は皆さんに見せる素晴らしいGUIパネルが付いています。
[114.48 - 119.68]  これによりリレーオペレーターは、マイニングファームやそのダッシュボードパネルを
[119.68 - 120.68]  使っているマイナーと同様の体験を最終的に得ることができるでしょう。
[120.00 - 129.78]  ここにあるグラフは、写真やビデオ、通常のノートなど、あなたが保存しているものの
[129.78 - 136.96]  パーセンテージを表示しています。上部には有料の購読者がいます。
[136.96 - 142.56]  すべてはインタラクティブで、これがすべて現在機能しています。あなたは
[142.56 - 148.88]  アドレスの数も確認できます。ですので、人々がBolt 12に移行し始めた場合、あなたはそれを追跡
[148.88 - 150.00]  でき、あなたのリレーにいるユーザーの数も確認できます。
[150.00 - 154.70]  そして、あなたが保存している合計ギガバイトを月ごとに追跡することができます。
[154.70 - 161.82]  それは、ノートとメディアが分けられた同じことです。右側にはあなたのウォレットがあり、
[167.24 - 172.28]  ビットコインのグラフ、ビットコインの価格、すべての取引、あなたに支払っている人々が見えます。
[172.28 - 177.12]  有料リレーの場合、支払っている人々が見えます。また、サトシに切り替えるためのボタンも
[177.12 - 184.12]  ありますので、もしそれで表記したい場合はそれを使えます。
[180.00 - 186.26]  そして、こちらが設定ページです。
[186.26 - 188.60]  これは、私が思うに、最も魔法のような部分です。
[188.60 - 193.22]  あなたはデータのホスティング方法を本当に設定できます。
[193.22 - 194.60]  すべてを行う必要はありません。
[194.60 - 199.36]  あなたはBlossomのデータを保存したり、Merkleツリーを保存したり、必要であれば
[199.36 - 200.84]  それらを完全にオフにすることもできます。
[200.84 - 206.16]  こちらは異なるニップをサポートする異なるタイプの番号があり、本当に
[206.16 - 210.00]  フルトグル機能を提供します。
