[0.00 - 1.28]  I mean
[1.28 - 4.84]  I just want everybody to scream really loud
[4.84 - 6.68]  because we just closed
[6.68 - 8.38]  an amazing conference
[8.38 - 10.78]  in Europe, NOSR for the first time
[10.78 - 11.72]  thank you Jack
[11.72 - 13.02]  thank you Jack
[13.02 - 20.46]  thank everyone on the stage
[20.46 - 22.72]  these are the people that make it work
[22.72 - 24.78]  and there's folks who are not on the stage as well
[24.78 - 26.92]  that have helped immensely as well
[26.92 - 28.30]  it's very true
[28.30 - 29.88]  thank you Alex
[30.00 - 31.60]  I know you're out there and watching.
[31.60 - 33.46]  Yes, let's start with the thank yous.
[33.46 - 36.54]  So thank you, McShane, Alex McShane.
[36.54 - 39.52]  We are, why are you not here again?
[39.52 - 41.72]  But yes, we miss McShane so much.
[41.72 - 43.18]  Thank you for everything.
[43.18 - 45.60]  I'm gonna do a little list of people I want to thank
[45.60 - 47.24]  that are not here on stage with us.
[47.24 - 50.10]  So let's start with McShane.
[50.10 - 53.82]  We don't have NVK, so our conference was organized.
[53.82 - 55.80]  It was so much better without him.
[57.44 - 58.36]  100%, 100%.
[58.36 - 59.46]  What? You guys don't.
[59.46 - 60.30]  Sorry, NVK.
[60.00 - 67.44]  I have picked up all the jokes that you usually do, but we hope to have you for the next one,
[67.44 - 68.44]  both you and McShane.
[68.44 - 72.24]  I'm actually sad I don't have our conference disorganizer.
[72.24 - 76.76]  Well, it's also the last one for you, Marce.
[76.76 - 81.76]  You have really took the organization of this one, you and Ana.
[81.76 - 84.00]  So big applause for them.
[84.00 - 90.00]  This is my last Master of the World Conference.
[90.00 - 95.12]  not my last contribution to noster okay so i'm not leaving noster but i am taking a step back
[95.12 - 99.52]  organizing the conferences so thank you everyone for giving me this opportunity i'm happy to come
[99.52 - 104.72]  to you and keeping the list of people we need to thank wait hold your horses dude
[106.48 - 112.96]  we need to thank the baltic honey badger team but especially my best friend the woman that like
[112.96 - 119.44]  holds me all the time picks me up anna thank you so much i love you thank you thank you thank you
[120.00 - 123.36]  This wouldn't be possible without the Baltic Honey Badger team.
[123.52 - 126.10]  Anna, Max, all of you, Nas.
[126.50 - 128.96]  Nas, you see all these beautiful designs.
[129.12 - 131.92]  Well, Nas is the mastermind behind all of these beautiful designs.
[132.00 - 134.54]  So please give her a huge applause because what?
