[0.28 - 0.96]  GM.
[4.04 - 5.42]  GM Fiat Jeff.
[6.34 - 8.00]  Can I get a GM Fiat Jeff?
[8.70 - 9.96]  GM Fiat Jeff!
[12.60 - 13.28]  Alright.
[15.02 - 16.12]  Nice. Okay.
[17.34 - 18.34]  Time to get started here.
[18.50 - 20.22]  So, the biggest
[20.22 - 22.06]  complaints that I
[22.06 - 23.64]  continue to hear people say
[23.64 - 24.92]  about Noster
[24.92 - 27.88]  is that when they join Noster
[27.88 - 29.98]  all they see
[30.00 - 40.50]  is people talking about Bitcoin. Bitcoin, Bitcoin, Bitcoin. I love Bitcoin.
[40.50 - 50.88]  GM, Honol, bullish. Now Bitcoin is revolutionary and I believe it is key to
[50.88 - 57.84]  Nostra's success, but social media needs communities. Black Twitter, Stan Twitter,
[57.84 - 60.50]  Journos.
[60.00 - 67.62]  BookTalk, FitTalk, SwiftTalk, mainstream social media is already benefiting from these communities.
[67.62 - 73.24]  There's no reason Noster couldn't also have communities, especially considering that they
[73.24 - 75.84]  can monetize with Bitcoin.
[75.84 - 78.66]  But we are not marketing to these communities.
[78.66 - 84.34]  We are simply saying Noster, Noster, Noster and hoping that they find us.
[84.34 - 88.28]  Kind of like an ostrich with its head buried in the sand.
[90.00 - 95.68]  I'm sorry I just wanted to say that. People have often asked me what I think success looks like
[96.80 - 101.20]  and my answer has always been the same. When your grandma is using it.
[103.92 - 110.08]  In 2019 my wife and I launched a website called Spinster on the Fediverse. For those who don't
[110.08 - 115.68]  know the Fediverse is the larger network of Mastodon and at the time people on Twitter
[115.68 - 120.00]  were getting banned for having the wrong opinions about gender identity
[120.00 - 128.80]  So, we did a little marketing campaign on Twitter, where we said, we don't ban feminists.
[128.80 - 134.24]  And in our first week, we had 5,000 people knocking our door down.
[134.24 - 140.46]  The site would freeze and crash as people fought to get in.
[140.46 - 146.88]  And once the users finally did get in, they immediately waged a war against each other
[146.88 - 149.98]  over whose true land this was.
[150.00 - 156.68]  Once I figured out how to load-balance Mastodon, things calmed down, and Spinster grew into
