[0.00 - 8.36] 次のパネルでは、NOSTRの資金調達について話しますので、ゲストを紹介します。
[8.36 - 10.00] ゲストが上がってくる間に。
[10.00 - 18.46] 昼食を少しとることもできますが、始めましょうか。
[18.46 - 22.22] そうですね、始めましょう。
[22.22 - 23.22] 昼食を持ってきて、プレストン。
[23.22 - 24.22] カジュアルに行きましょう。
[24.22 - 25.22] これは「アンカンファレンス」です。
[25.22 - 30.22] これは「アンカンファレンス」です。
[30.00 - 32.44] セッションの合間に、彼は少し食べる必要があります。
[32.56 - 38.36] さて、皆さん、マイクを持って、快適に座りましょう。
[38.36 - 43.42] これは素晴らしいディスカッションになるでしょうし、NOSTRの資金調達について話します。
[44.48 - 55.12] 今日はプレストン、アレックス、オデル、そして初めて、リガのステージにマーティがいます。モデレーターを務めてくれますか？
[55.26 - 56.18] それとも別のパネルに出ていましたか？
[56.28 - 57.62] 見逃していたらごめんなさい。
[57.92 - 59.02] あなたは正しいです。
[59.02 - 59.98] これが今週の最初のパネルです。
[60.00 - 64.68] ここにいることにとても興奮しています。急に呼ばれたので、このトピックについてはよく話すので、会話を楽しみにしています。
[64.68 - 69.40] さて、NOSTRの資金調達について話します。RHRではよくこのことを話しています。特にNOSTRの資金調達だけでなく、ビットコインについても。
[75.42 - 83.34] ですが、具体的な話に入る前に、マット、NOSTRの資金調達と言うと、その文脈は何ですか？
[83.34 - 88.02] あなたの考えでは、その文脈はどのように異なりますか？今日はザップしましたか？
[88.02 - 89.96] 実際にザップ戦争をしています。ちょっとザップ戦争が起きています。
[90.00 - 97.76] これがNOSTRの資金調達の方法です。ポールはここにいますか？ポールがいるかどうか分かりません。
[97.76 - 102.56] あのハミングバード、皆さん、NOSTRでハミングバードをフォローして、彼らのノートでザップを見てください。
[102.56 - 109.66] NOSTRの資金調達を考えると、興味深いですね。なぜなら、幸運なことに、非常にフォーカスされたエコシステムだからです。オープンソースに特化したエコシステムです。ほとんどすべてのプロジェクトがオープンソースです。
[115.24 - 119.98] この分野のほとんどのプロジェクトは明確なマネタイズモデルや持続可能な資金調達モデルを持っていません。私は、さまざまなプロジェクトが持続可能な資金調達を得るために興味深い戦略を採用すると思いますが、今のところ、
[136.76 - 142.46] それが意味するのは、資金の多くが寄付に基づいているということです。NOSTRの素晴らしいところは、NOSTRにはビットコインが組み込まれていることです。もしラブルのクライアントを使っているなら、
[150.00 - 153.34] ランダムな単位があり、それをザップすると、単位が増えます。
[153.86 - 155.14] でも、ビットコインではありません。
[156.64 - 159.36] そして、これは将来的に大きな影響を持つと思います。
[159.54 - 163.04] 開発者たちは、NOSTRに投稿し、新しいソフトウェアのアップデートを行ったり、何かをほのめかしたりし、彼らのユーザーが直接資金を提供することができるようになると思います。仲介者なしで。
[171.04 - 174.16] ただ、それは時間と成熟、採用の問題です。
[174.22 - 178.52] そして今のところ、残念ながら、私たちはその初期の兆候を見ていますが、
[178.52 - 180.26] 実際には意味のある金額では見ていません。人々は家賃を支払う必要があります。家族を支える必要があります。
[188.86 - 195.62] 彼らは、給料が良くて心を消耗させる仕事を離れて、この非常に新しい、初期のオープンソースプロトコルに取り組むことを快適に感じる必要があります。その結果、何らかのセキュリティが必要です。
私たちが目にしているのは、これらの組織、特に私が取り組んでいるOpenSatsやアレックスが関わっているHRFといった非営利団体が、Nostraの開発者たちに対して早期の資金提供を行い、しっかりと支援をしていることです。私たち二人の考えとして、これが多くの開発者たちにとっての出発点となり、彼らが自立して成長するきっかけになることを期待しています。彼らはまるで胸にパドルを当てられたフランケンシュタインのように立ち上がり、進んでいくのです。

