[0.00 - 6.24] パブロがこのパネルを進行しています。
[6.24 - 9.56] パネルにようこそ、マット。
[9.56 - 11.56] 自己紹介をしてもらえますか？知らない人のために。
[11.56 - 12.56] 参加させてもらってありがとう。
[12.56 - 16.82] 私はNostrで大文字で投稿する男です。
[16.82 - 24.12] 手を挙げてください、この部屋でNostrに全力投球している人は？
[24.12 - 26.24] さあ、行こう。
[26.24 - 29.82] ジャックが手を挙げなかったのに気づきました。
[29.82 - 29.94] もしかしたら彼は。
[30.00 - 36.02] 今日中に彼のTwitterアカウントを削除するかもしれませんね？そう思います。いくつかの噂を聞きました。
[36.02 - 45.42] 最近、Nostrに関してマーケティングや中央集権的に計画されたマーケティングについて少し議論がありました。あなたの考えは？
[45.42 - 53.62] 正直なところ、私はそのアイデアが嫌いです。
[53.62 - 60.00] 率直に言って、それは有害な試みだと思います。そうなれば、プロトコルのための中央集権的なマーケティング計画とプラットフォームの違いを理解するのが難しくなるかもしれません。それはプラットフォームが行うようなことのように感じます。
[60.00 - 70.22] だから、A、私たちには必要ないと思いますし、B、それは非常に有害である可能性が高く、私たちが望むメッセージについてどう合意するのかが問題です。
[70.22 - 76.86] 私たちが伝えたいメッセージ。
[76.86 - 83.48] だから、これはマージンに任せて、周辺で解決すべきだと思います。
[83.48 - 89.98] Nostrが必要で利益を得られる人々が、正しいストーリーの下でそれを見つけられる場所です。
[90.00 - 99.66] なぜなら、それは彼らに正しい光の下で描かれるからです。だから、私たちはNostrについて話す一つの方法を持つ必要はないと思います。あなたがそれを考えているとき、個々の会社やプロジェクト、ユーザーが自分たちのオーガニックなアウトリーチを行うということです。
[99.66 - 103.84] まさにリレーのように。誰がリレーを運営するのかという点については、私はただマルシーに言いたいのです。
[103.84 - 111.86] ちょっと立ってくれませんか？
[111.86 - 119.74] マルシーがこのカンファレンスを支えてくれたことに、大きな拍手をお願いできますか？
[120.00 - 125.60] 彼女はとても謙虚です。
[125.60 - 131.84] 彼女は…
[131.84 - 140.80] 彼女を見かけたら、感謝の気持ちを伝えてください。
[140.80 - 148.40] 彼女がいなければこれは実現できませんでしたし、これを実現するために多くのボランティアがいました。
[148.40 - 149.84] 私が最初の部分を持ち出した理由は、
[149.84 - 153.00] Nostrに全力投球している人々についてです。
[153.00 - 159.08] それが私たちの運動としての最大の資産だと思います。
[159.20 - 160.18] これはプロトコルであり、技術プロジェクトですが、
[160.18 - 161.50] それは私にとって、多くの面でビットコインに非常に似ています。
[161.58 - 164.18] 個々の人々がより良い世界を望んでいる運動ですからね。
[164.18 - 167.08] そして、私たちの「ライド・オア・ダイ」に関する何かがあります。
[167.08 - 171.00] それは開発者だけでなく、デザイナーやユーザーも含まれ、
[171.00 - 175.06] 実際にこのプロトコルに時間とエネルギー、限られた時間とエネルギーを投入している人々です。
[175.06 - 177.12] そして、私たちには最高の「ライド・オア・ダイ」がいます。私は、ラブルのプレゼンテーションを見ましたが、
[177.12 - 180.00] アレックスがディットから出たばかりで、私たちは多くの仲間がいます。
[180.00 - 186.18] 何千人もの人々が本当に気にかけており、このことにかなりの時間を捧げています。
[186.98 - 189.50] それがこの運動を前に進めるものです。
[189.68 - 192.18] そして、その流れはどんどん成長しています。私がここに座っていて、非常に楽観的でないことが難しいです。
[192.18 - 196.16] すべての批判者はさようならです。
