[0.00 - 8.48]  皆さん、来ていただきありがとうございます。
[8.48 - 18.56]  この時間を利用して、NOSTRについての現状、私たちがどこから来たのか、そしてどこに向かっているのかを話し合いたいと思います。
[18.56 - 24.64]  私たちは皆、この大きな共同プロジェクトの一部であり、
[24.64 - 30.00]  それぞれが自分の小さな部分を見ています。
[30.00 - 32.84]  ですので、少し全体像を把握することが有益だと思いました。
[32.84 - 37.44]  Nostraはコミュニティによって作られます。
[37.44 - 41.80]  コミュニティは成長します。
[41.80 - 44.08]  人工的に作られるものではありません。
[44.08 - 45.70]  上から下にデザインされるものではありません。
[45.70 - 48.52]  特にオープンな技術やインターネットのような複雑なシステムは、うまくデザインされることはありません。
[48.52 - 56.64]  それらは自然に出現します。
[56.64 - 57.64]  そして…
[57.64 - 59.24]  私は、まあ、ジャフが右派のブラジル人を引用してトラブルになったので、
[60.00 - 67.60]  ブラジルの共産主義者を引用することにします。それは「私たちは歩くことで道を作る」というもので、
[67.60 - 76.00]  これは私たちがどのようにこれを築いているのかを指す方法であり、
[76.00 - 83.92]  私たちが行っている作業の中でそれを築いているということです。私たちのコラボレーションの中でそれを築いており、
[83.92 - 88.56]  それを運営する中で、そしてそれを学ぶ方法の中で築いています。
[88.56 - 90.00]  そして、これは本当に重要だと思います。
[90.00 - 94.92]  Nostrを作るプロセス、これらのアプリをすべて構築し、どのように機能するかを理解するプロセスは、
[94.92 - 100.00]  私たち全員を含むプロセスです。
[100.00 - 107.68]  それは私たちが一緒に理解しているプロセスであり、私も思いついたので、
[107.68 - 114.18]  いろいろと投げかけているので、聖書を引用しようと思いますが、
[114.18 - 122.00]  過去に起こったことは今ここにあり、未来に起こることもここにあります。
[120.00 - 125.52]  ですので、私たちには歴史のサイクルがあり、正確に繰り返されることはありませんが、
[125.52 - 130.74]  似たようなことが繰り返されます。ですので、私たちは今日どこにいるのか、どこに向かっているのかを、
[130.74 - 136.80]  過去に何があったかを見つめることで理解できます。
[136.80 - 143.40]  それでは、Nostrはどこから来たのか、私たちはここにたどり着くためにどこから来たのかという問いがあります。
[143.40 - 151.28]  私が思い出すことの一つは、ジャックとこの話をしたかどうかは覚えていませんが、
[150.00 - 158.42]  Odeoの時、出現するメディアが何を意味するのか、どのように機能するのかについての議論がありました。
[158.60 - 164.60]  そして、私たちが好きだった過去のシステムを振り返り、携帯電話の時代にそれが何を意味するのか、
[164.92 - 174.02]  あるいは2006年のインターネットがどのように見えたのかを考えました。
[174.36 - 178.22]  そして…
[178.22 - 180.22]  それは私の心に残りました。なぜなら、人類は数十万年の歴史があり、
[180.00 - 185.16]  農業はたった1万年しか続いていないからです。
[185.44 - 188.72]  都市の歴史はそれよりも短いです。
[189.30 - 192.10]  国民国家ができたのはそれよりも最近のことです。
[192.36 - 193.98]  お金ができたのも同様です。
[194.18 - 195.00]  私たちは、歴史の中で比較的短い期間に、
[195.66 - 198.92]  これらすべての構造を持っていました。
[198.92 - 201.78]  しかし、私たちはずっと前に進化しました。
[202.38 - 205.94]  そして、新しい技術を導入するたびに、
[205.94 - 210.00]  私たちは同じ人間の相互作用や活動を繰り返すことになります。
[210.00 - 214.92]  なぜなら、私たちはそうしたものに対してハードワイヤードされているからです。コミュニティに対してハードワイヤードされており、
[214.92 - 219.78]  物語に対してハードワイヤードされており、コラボレーションに対してもハードワイヤードされています。
[219.78 - 229.20]  ですので、私たちがオリジナルの楔形文字のタブレットから新しいコミュニケーション技術を発展させる中で、
[229.20 - 235.68]  それは物語を書くために使われることはほとんどなく、主に使用されていました。
[240.00 - 249.04] 会計に関しては、元のパピルスの記録から手動で本を写すまで、帳簿が存在しました。
[249.04 - 256.00] その初期の段階では、人口の非常に小さな割合しかメディアを作成することに参加できませんでした。
[256.00 - 261.76] 他のすべての人々は口頭でのメディアしか持っておらず、印刷機が登場しました。
[261.76 - 269.84] 印刷機の目的は、カトリック教会の支配を確立し、みんなにその教えを広めることでした。
[269.84 - 270.00] しかし、起こったことは、カトリック教会を超えた人々が印刷機を手に入れ、
[270.00 - 276.54] 突然、マーティン・ルターという名の説教者が彼のパンフレットを印刷し、プロテスタント改革を引き起こしました。
[276.54 - 282.42] 基本的に、印刷機は歴史上最も多く印刷された本である聖書を印刷しましたが、
[289.08 - 295.20] それはまた、中世の機関の支配の崩壊にもつながりました。
[295.20 - 301.88] 同じことが新聞の台頭にも見られます。最初は、人々を結びつけ、教育するというアイデアから始まりましたが、
[300.00 - 307.08] 結果的にそれは社会における権力のあり方を変えることになりました。新しい技術が導入されるたびに、
[307.08 - 312.48] 私たちは道徳的パニックを経験します。新しいものはうまくいかないという考えが広がります。
[312.48 - 317.76] これらの道徳的パニックのいくつかは、今ではちょっと古臭く感じられます。
[317.76 - 325.80] 私が好きな道徳的パニックは、ヴィクトリア朝の小説についてのもので、
[325.80 - 331.88] 若者が小説を読みすぎることが知性を破壊しているという道徳的パニックがありました。
[330.00 - 336.42] 立法者たちは、若者が小説を読むのに多くの時間を費やさないように何かをする必要があると考えていました。
[336.42 - 344.40] そして、その少し後に、コーヒーショップに対する十字軍がありました。
[344.40 - 350.78] コーヒーショップは、人々が集まって新聞を読み、様々な話題について議論し、革命を引き起こしていた場所でした。
[350.78 - 357.12] 新しいアイデアが生まれる場所でもありました。
[357.12 - 360.92] そのため、コーヒーショップは非常に論争の的となり、人々は小説について道徳的パニックを抱いていました。
[360.00 - 367.24] 彼らはコーヒーショップについても道徳的パニックを抱き、社会の理にかなったものをすべて破壊するものと考え、
[367.24 - 375.36] 危険な領域に入る原因になると恐れていました。今日のソーシャルメディアを考えるとき、
[375.80 - 377.40] 私たちは、そのような歴史が常に存在していたパターンであることを認識しなければなりません。
[377.88 - 384.90] 私たちはそこから学び、道徳的パニックについて少し冷静になれるかもしれません。なぜなら、
[384.90 - 389.84] それらは常にやってくることがわかっているからです。もう一つ気づくべきことは、言論そのものは
[390.00 - 397.68] 誰もいない森の中で話していても効果がないということです。それは配信、
[397.68 - 404.04] 再生、共有、協力の能力と結びついています。上の方にはスカトルバットと呼ばれるものの写真があります。
[404.04 - 410.64] スカトルバットは、帆船が手紙をやり取りする方法でした。二隻の帆船が海で出会うたびに、彼らは自分の樽の中のスカトルバットを調べ、
[410.64 - 419.56] 他の船に向かう手紙を見つけて交換しました。
[419.56 - 420.06] それは、全く中央の調整のない、ストア・アンド・フォワード方式の郵便でした。
[420.00 - 426.88] そして最終的には、電信が登場しました。
[426.88 - 432.80] ヘンリー・デイヴィッド・ソローは言いました、
[432.80 - 438.48] 「なぜ電信を使うのかわからない。
[438.48 - 444.88] 「メイン州の人間が、なぜテキサスの誰かと話をしたいのか？」
[444.88 - 450.00] ということです。
最初の疑問は、これらのものはどのように役立つのかということでした。最終的には、物事が速く進むことを意味しました。それは物事を統一しました。そして、これらの技術の中には、単にコーヒーショップが新聞や革命を煽っているだけではなく、時には技術が本当に否定的な影響を及ぼすことがあり、それを作った人たちが考えもしなかったこともありました。そして、社会がそれにどう対処するかを理解するのに長い時間がかかりました。19世紀の権威主義はラジオなしでは成り立たなかったのですが、今日ではあまりそのことについて話されていません。しかし、アメリカでは、毎週250万人が聴いていたカトリックの神父コグリンがラジオ番組を持っていて、彼はそのプラットフォームを利用してアメリカが第二次世界大戦中にイギリスではなくドイツに加わるべきだと主張しました。つまり、彼はアメリカが枢軸国に加わることを望んでいました。私たちの歴史の教科書では、アメリカの4分の1が、アメリカが第二次世界大戦の反対側にいるべきだと主張する長時間のラジオ番組を聴いていたという事実については誰も触れていません。また、彼がデプラットフォーム化され、シャドウバンされたというのも興味深いことです。本当に、彼は最初の大規模なデプラットフォーム化とシャドウバンの対象となり、組織的な努力があったのです。その一部は政府によるものでしたが、彼を放送から外すように広告主やラジオ局にロビー活動を行った人々も多かったのです。今、彼をデプラットフォーム化することが悪いことだったとは言っていませんが、今日のソーシャルメディアで見られるような事柄は新しいものではありません。メディアの歴史を振り返ると、もう一つ興味深いのは、道徳的パニックの裏側にあるユートピア的な言語です。放送テレビに対する興奮と希望は、それが共通の文化のもとで皆を統一することによって社会の問題を解決するというものでした。もし皆が毎晩同じテレビ番組を見れば、私たちは皆同じアイデアを持ち、社会の問題はすべて解決されると考えられていました。そして、ある意味では、それはそのような効果を持ちました。文化の統一的な効果をもたらしました。しかし、皆を同じページにして統一することがすべての問題を解決するわけではありませんでした。社会の対立をなくすことはできませんでした。メディアについて考えるとき、私たちには西洋で強い言論の自由の保護があるという現実がありますが、到達に関する強い保護はありませんでした。そして、それは意図的でした。つまり、「報道の自由はそれを所有する者にのみ保障されている」という有名な言葉が示すように、あなたは何を言っても良いですが、それを人々に届けることはできないのです。コグリン神父が上に立ったとき、彼はラジオ番組を運営する能力を失い、自分のラジオタワーを設置することもできず、実質的に黙らされました。したがって、新しいものを作るときに、どのような絞りポイントがあるのかを考えることが重要です。なぜなら、絞りポイントはしばしば非常に技術的で、少しエソテリックなものだからです。テレビが導入されたとき、人々はそれが文化を殺すものだと思い、「この無知な青い機械」がアイデアを撒き散らしていると呼ばれていました。
[714.90 - 721.70]  物事を一緒にするだけでなく、皆を一つにまとめました。それは統一をもたらしました。
[720.00 - 721.52]  そして、それは文化を変えました。
[722.16 - 728.00]  新しい技術を導入するたびに、私たちはその技術を形作り、そしてその技術が私たちを形作り返します。
[728.10 - 729.44]  それはこのサイクルです。
[729.98 - 733.20]  だから、新しいものをデザインする際には、そのサイクルを考える必要があります。
[735.50 - 740.26]  あなたがココナッツの木から落ちたと思っているミームがあります。
[740.98 - 743.16]  それはちょっと面白いです。
[743.16 - 749.26]  しかし、もう一つの側面は、私たち全員が社会と歴史の文脈の中に存在しているということです。
[749.26 - 779.24]  そして、私たちは皆、社会の文脈の中に存在しています。
[750.00 - 759.60]  その文脈を理解することが重要です。つまり、ツイッター自体はどこからともなく現れたわけではなく、
[759.60 - 763.68]  既存のものから生まれました。それは既存のアイデアから生まれました。そして多くの人々が
[763.68 - 769.68]  協力して生み出したものであり、もし私たちがツイッターのオーディオを作らなかったら、
[769.68 - 774.96]  他の誰かが似たようなものを作っていたと思います。なぜなら、人々は似たアイデアを試していたからです。
[774.96 - 779.52]  他にも、パウスやジャイクなどの会社があり、人々はそれを試みていました。それは同じものでしょうか？ いいえ。
[779.52 - 780.00]  それは同じ構造や可能性、価値を持っていたでしょうか？
[780.00 - 782.90]  おそらく、そうではないでしょう。
[782.90 - 783.90]  しかし、似たようなものが現れたでしょう。
[783.90 - 788.50]  それで、私はインスピレーションを与える名言を考えていましたが、
[788.50 - 792.96]  見つかりませんでした。
[792.96 - 794.30]  だから、ジャックの写真を表示します。
[802.26 - 808.50]  私たちが構築しているものを理解するためには、
[808.50 - 810.00]  他の人とオンラインでいることが何を意味するのかを考える必要があります。そして私が見つけた最も良い比喩は、
[810.00 - 816.30]  私たちがデジタルな近隣を作っているということです。なぜなら、異なる近隣や異なる空間が
[816.30 - 822.34]  異なる可能性を持ち、何が普通で何が良いか何が悪いかの考えを持つことができるからです。そして、
[822.34 - 827.46]  近隣やデジタルスペースは、クールからクールでなくなることがあります。かつて、
[827.46 - 832.02]  マイスペースは本当にクールで、そしてその後クールでなくなりました。フェイスブックが本当にクールになり、
[832.02 - 838.98]  その後、皆の母親が参加し、そしてクールではなくなりました。私たちは
[838.98 - 841.82]  ジェーン・ジェイコブスのような学者や都市計画者から学ぶことができ、彼らの比喩や
[844.70 - 851.42]  アイデアを社会システムのデザインに応用することができます。なぜなら、私たちは
[851.42 - 857.24]  10,000年前の部族グループでキャンプファイヤーの周りに座っていたのと同じ人々だからです。
[862.94 - 869.66]  私たちは同じ脳を持ち、同じニーズを持っています。
[870.00 - 873.46]  だから、私たちはカフェに出かけたり、電車や飛行機、スーパーマーケットに入ったりする
[873.46 - 879.96]  同じ人々です。
[879.96 - 883.54]  私たちはその同じ人を持ち込み、これらのデジタルスペースに入り、デザインを見ます。
[883.54 - 889.06]  規範を見て、他の人々がどのように振る舞っているかを見て、私たちがその空間で
[889.06 - 893.38]  どのように振る舞うべきかを知ります。
[896.76 - 900.00]  この比喩を使って、
[900.00 - 906.56]  私はそれぞれの大きなソーシャルメディアプラットフォームがどのようなものかを考えるのが好きです。
[906.66 - 908.24]  それぞれの物理空間のアナロジーは何ですか？
[908.48 - 911.66]  私にとって、インスタグラムはアートギャラリーのようなものです。
[912.54 - 914.06]  とても派手です。
[914.96 - 919.78]  あなたは、美しさに対して報われるのです。
[923.16 - 927.58]  ブログは、古い技術であり、オープンカフェの夜のようなものです。
[927.58 - 929.42]  あなたは、何が得られるかわからないのです。
[929.42 - 929.92]  そして、皆が。
[930.00 - 936.88]  ある意味、彼ら自身で進んでいるような感じで、特につながりがあるわけではありません。 TumblrやLive Journalは、コミコンや、あるいはファーリーコンベンションのようなもので、特定の代替文化の一環であり、遊び心のある人々がいる場所ですが、主流の社会には馴染めないのです。

[936.88 - 944.88]  TikTokはコachellaやTomorrowlandのようなもので、非常に大規模で、非常に良く制作された音楽フェスティバルです。

[944.88 - 952.38]  Twitterは私にとって、サンフランシスコのザイトガイストバーのようなもので、ヒップスター的な少しダイビングバーです。人々が集まって話すためのたくさんのテーブルがあり、非常に騒がしく、さまざまなことが起こっていて、すべての中心にいるような感覚になります。

[952.38 - 959.90]  Facebookは、市のコミュニティセンターのようになってしまいました。まだ存在していますし、いまだに人々が訪れて使っているのです。理論的には、このようなコミュニティセンターがあることは良いことですが、非常に悲しいことでもあります。

[960.00 - 969.24]  MastodonとFediverseは、D&Dのゲームのようなもので、私がそう言うのは、Fediverseを使っている人々だけでなく、すべての人々が小さなルールを設定するネットワークでもあるからです。

[969.24 - 973.06]  それぞれのサーバーは、自分自身の小さな世界のようなもので、すべての冒険、何を言えるか、誰が参加できるかといったことが、ダンジョンマスターによってデザインされているのです。そして、ダンジョンマスターが何をするかについては、あなたに選択権はありません。ダンジョンマスターが素晴らしいゲームを提供するか、あるいはひどいゲームになるかはわかりませんが、あなたにはあまり自律性がないのです。

[973.06 - 979.14]  あなたは彼らの世界に存在しているのです。ブルースカイは、完全自動化された贅沢なゲイの宇宙共産主義を試みるようなもので、非常に政治的に正しい特定の人々のためのユートピア的なもので、特定の人々を超えた多様性にはあまり関心がありません。

[979.14 - 985.62]  そして、ファーカスターはカジノのようなものです。誰かがファーカスターに多くの時間を費やしたことがあるかはわかりませんが、彼らは資金を集め、基本的にこれらの小さな暗号通貨コンテストを追加したときに大きく成長し始めました。

[985.62 - 990.00]  あなたは投稿したり、学んだりすることができ、グループに参加する際に賭けをすることになります。そして、コンテンツが報告されたりすると、賭け金を失うことになります。彼らはそれをゲームにし、ほとんどのカジノは多くの金を稼ぎますが、特定の種類の人々しか行かないのです。

[990.00 - 994.88]  現時点でノスタはビットコインのミートアップのように感じられますが、長期的にはそうである必要はないと思いますが、今の現実がそうであることは間違いありません。

[994.88 - 1004.96]  だから、私が提案しているのは、コミュニティの再設計が必要だということです。ビットコインのミートアップを排除するのではなく、他の建物を作る必要があります。私たちの近所の中で他のスペースを作る必要があるのです。今、私たちはどこにいるのでしょうか。

[1004.96 - 1009.38]  私たちは、勝利し、機能するインターネットプロトコルの伝統の中に非常に位置しています。 

[1009.38 - 1011.38]  「私たちは王、大統領、投票を拒否する」というフレーズがあります。 

[1011.94 - 1014.56]  私たちは粗い合意と実行中のコードを信じています。 

[1014.56 - 1020.00]  これは、インターネットを設計したIETFのモットーです。 

[1020.00 - 1023.30]  デイビッド・クラークがそれを言ったのですが、彼はTCP/IPを設計した人です。 

[1023.30 - 1026.78]  TCP/IPについて考えると、それは常に存在していた基本的なものとして考えられます。
私たちが実際には気づいていなかったのは、TCP/IPが正しいことを拒否した反乱者のプロトコルであったということです。TCP/IPは設計が不十分なプロトコルであり、政府は誰もがOSIを使用することを望んでいました。私たちの誰もがOSIを覚えていません。しかし、その当時は非常に物議を醸していました。なぜなら、完璧なインターネットアーキテクチャを設計していたアーキテクチャ宇宙飛行士たちがいたからです。彼らはすべてが非常に制御された状態で動作するアーキテクチャを作っていましたが、そこにハッカーたちが現れてTCP/IPを作り出しました。そして、今日のインターネットは、これらの分散型プロトコルの層があるおかげで存在しています。Nostrについて考えるとき、オープンで雑多なものが勝つことを認識することが重要です。私たちはこれらの仕様を持っていますが、同時に実験を行っている大規模なコミュニティも存在します。Nostrでは、自分の新しい種類を作り出し、それに書き始めることができます。メッセージに好きなことを書き込むことができます。BlueSkyアプリプロトコルでは、Nostrに非常に似ているのですが、スキーマバリデーターを書く必要があります。そして、仕様を承認してもらわなければなりません。新しいメッセージタイプが機能するためには、異なるレベルのスタックにある複数のサーバーにそれを設置しなければなりません。これは、物事を考える上での根本的な違いです。それがすべてです。インターネットの複雑な大部分は、構築が容易で雑多でハッキーなものから生まれました。これが私がNostrに惹かれた一因であり、私たちはそれを祝うべきであり、これがスケールしないなどと言わせるべきではありません。私はRuby on Railsに関わっていましたが、みんなが言っていました、Ruby on Railsはスケールしないと。そして、私たちはスケーリングの問題を解決しました。ShopifyはRuby on Railsです。うまく機能するものは、部分的に組み合わせられたものです。今日のインターネットは、緩く結合された小さな部分です。Nostrも同様に、緩く結合された小さな部分です。Nostrはインターネットネイティブであり、インターネットの上に構築された大規模なWeb 2.0プラットフォームとは非常に異なりますが、それらはインターネットのようには機能しません。Nostrは、ほとんど誰も使用していなかったプロトコルであるSecure Scuttlebuttに基づいています。そしてFiat Joffは、READMEファイルに、Secure Scuttlebuttは非常に興味深いと書いていました。それはいくつかの興味深いことを行っていますが、いくつかの制約があります。Scuttlebuttでは、複数のアプリで同時に同じキーを使用するのが非常に難しく、Nostrではよく行うことです。また、署名チェーンがあるため、削除することも不可能でした。そして、Scuttlebuttのリレイは追加のものでした。しかし、NostrはScuttlebuttに触発された唯一のプロトコルではありません。Blue SkyもScuttlebuttに触発されました。しかし、彼らは異なる方法でそれを行いました。彼らはオープンソースの大聖堂モデルです。Blue Skyの開発のためには、使うことができ、クライアントを作成することができますが、彼らは貢献者ファイルに「貢献は望んでいない」と書いています。
[1380.00 - 1387.86]  物質の貢献は、コミュニティによって創造されるのではなく、コミュニティによって使用されるため、重要ではありません。
[1387.86 - 1392.82]  Gnosterはその反対です。Gnosterは奇妙なものです。私たちには王や大統領、あるいは投票はありません。
[1392.82 - 1399.94]  私たちは物事を構築します。私たちは協力します。Gnosterは機能するインターネットのように構築されています。
[1399.94 - 1405.20]  そして、私はこれをよく聞かれます。これらをどのように比較しますか？Gnosterはこの大きなエコシステムの中でどこに位置していますか？
[1405.20 - 1410.00]  いくつかの実際の違いがあることがわかりますが、最大の違いは、異なる哲学で同じことを行った場合です。
[1410.00 - 1416.64]  上から下への方法でボトムアップの分散型プロトコルを構築しようと決めた場合です。
[1416.64 - 1418.84]  私たちはボトムアップの方法でボトムアップの分散型プロトコルを構築しています。
[1418.84 - 1423.54]  最後に、Threadsがあります。これはこれらすべてのプロトコルやその他のものを統合しようとしました。
[1423.54 - 1428.88]  私は、ThreadsのコードはInstagramのコードベースにあるif-else文の集まりに過ぎないと確かな情報を持っています。
[1428.88 - 1436.62]  これは、これはテキストですか？これは画像ですか？
[1436.62 - 1439.96]  私は、Twitterを離れてThreadsに移る人々を理解できません。
[1439.96 - 1441.96]  なぜなら、私たちは15年にわたる
[1441.96 - 1444.70]  FacebookとMetaが
[1444.70 - 1446.18]  嘘をつき、虚偽の約束をしたという十分な証拠を持っているからです。
[1446.18 - 1451.06]  サービスと、成長をあらゆるコストで追求すること、つまり、なぜ私たちは彼らにもっと多くのプラットフォームを与えたいのですか？
[1451.06 - 1458.74]  そして、彼らが本当にこれらのオープンスタンダードに対してオープンになると私たちはなぜ信じるのですか？
[1458.74 - 1461.24]  なぜなら、Facebookはアクティビティストリームを行った連合の一部であり、これはActivityPupの前触れでした。
[1461.24 - 1465.68]  Facebookがこれらのオープンプロトコルをサポートしていた時期がありました。
[1465.68 - 1467.68]  そして彼らは「私たちはもはやそれらをサポートする必要がない、なぜなら私たちはオープンコミュニティを無視するのに十分大きいからだ」と言いました。
[1467.68 - 1470.00]  ソフトウェア開発の歴史、特にインターネットの歴史は、中央集権と分散化の間で振り子が揺れる歴史でした。
[1470.00 - 1476.80]  私たちはメインフレームを持ち、その後マイクロコンピュータやパーソナルコンピュータを持ち、CompuServeを経て
[1476.80 - 1482.70]  その後FidonetやBBSを持ちました。
[1482.70 - 1488.34]  私たちは常に両者の間で揺れ動き、力の争いや技術の争いが行われています。
[1488.34 - 1492.96]  そして、極度の中央集権の問題を見てきました。すべてのアプリがサーバーによって提供され、そしてそれがあなたに与えられ、ブラウザで実行されます。
[1492.96 - 1496.48]  しかし、すべての複雑なものは中央サーバーに存在します。
[1496.48 - 1500.00]  すべてが即座に提供され、ブラウザで実行される世界は、メインフレームの古い世界とはあまり変わらないのです。
[1500.00 - 1505.00]  なぜなら、中央サーバーを制御する者がすべての力を持つからです。
[1505.00 - 1510.12]  ですから、Nostraについて考えるとき、私たちは持続可能な未来を築く必要があることを認識する必要があります。
[1510.12 - 1518.50]  そして、私たちにはそれを実現するための要素があります。
[1518.50 - 1526.76]  私はNostraについて人々と話す方法、特にそれが検閲耐性のある自由な言論のプロトコルとしての複雑さについて多くの時間を考えてきました。
[1526.76 - 1530.94]  なぜなら、ほとんどの人は、誰かが何か悪いことをしてコンテンツをモデレートされたり、攻撃的で危険なことを言いたいと思っていると考えているからです。
そして、私たちに検閲耐性があり、私たちがそのコントロールを持ち、自由な言論が重要であることは確かですが、
誰もが大量にそのためのプラットフォームを探し求めているわけではありません。
しかし、彼らが求めているのは楽しめるアプリです。
NozterはFoxとは非常に異なります。
Blue Skyや他のいくつか、またはMastodonとは異なり、私たちが持っている素晴らしいアプリの数々があります。
Web 2.0における真の共有資源の悲劇は、それがプラットフォームによって囲い込まれたことでした。
初期の頃、オープンなAPIがありました。
コラボレーションできるオープンなシステムがありました。
あるシステムから別のシステムにデータを引き出すことができました。
TwitterのAPIの初期実装では、あなたはただユーザー名を使っていました。
そのため、Twitterはサードパーティのアプリをシャットダウンできませんでした。なぜなら、あなたがウェブブラウザを使っているのか、TweetDeckを使っているのかの違いがわからなかったからです。
しかし最終的に、OAuthが設定され、これはユーザーを保護し、パスワードを共有しないように助けるためのものでしたが、権力のシフトを引き起こし、結局はすべての権力が中央集権的なコントロールに戻ることになりました。
したがって、Nostrをアプリプラットフォームとして考えると、私たちは勝っていることに気づきます。私たちは素晴らしいアプリをたくさん持っており、協力して機能するものがたくさんあります。そしてそれらは本当に良いものです。さて、それらは完璧ですか？いいえ。ログインするのが難しいですか？はい。しかし、私たちができるすべてのことを示したとき、人々は驚きます。そして私たちのユーザーテストでは、
人々の心を驚かせたのは、私たちがNosocialやPrimal、Domusにサインアップさせたとき、
そして彼らにNSECを取得する方法を示し、別のアプリにそれを入れたとき、
それが同じコンテンツであることを示したとき、
そしてその別のアプリは異なる人によって異なる好み、異なるデザイン、異なる機能で作られたものであることを示したときです。
これがこのことの驚くべき点です。
だからこそ、私たちはそれぞれの小さな囲いを作るのではなく、みんなで協力しているのです。
だから、私たちはこの素晴らしいアプリの数々について十分に語っていないと思います。
私たちはそれをアプリ内で十分に話していないと思います。
私は、nonsocialに参加して使用し始めるとき、他の異なる種類のアプリを発見することを促していないことを知っています。
私たちはこの素晴らしいエコシステムを構築しましたが、ユーザーはその中を移動できますが、アプリがどのように接続するかはまだうまく理解できていません。
